bigCityFlag,cityCode,cityName,prefCode
0,06364,真室川町,6
0,06365,大蔵村,6
0,06366,鮭川村,6
0,06367,戸沢村,6
0,06381,高畠町,6
0,06382,川西町,6
0,06401,小国町,6
0,06402,白鷹町,6
0,06403,飯豊町,6
0,06426,三川町,6
0,06428,庄内町,6
0,06461,遊佐町,6
0,07201,福島市,7
0,07202,会津若松市,7
0,07203,郡山市,7
0,07204,いわき市,7
0,07205,白河市,7
0,07207,須賀川市,7
0,07208,喜多方市,7
0,07209,相馬市,7
0,07210,二本松市,7
0,07211,田村市,7
0,07212,南相馬市,7
0,07213,伊達市,7
0,07214,本宮市,7
0,07301,桑折町,7
0,07303,国見町,7
0,07308,川俣町,7
0,07322,大玉村,7
0,07342,鏡石町,7
0,07344,天栄村,7
0,07362,下郷町,7
0,07364,檜枝岐村,7
0,07367,只見町,7
0,07368,南会津町,7
0,07402,北塩原村,7
0,07405,西会津町,7
0,07407,磐梯町,7
0,07408,猪苗代町,7
0,07421,会津坂下町,7
0,07422,湯川村,7
0,07423,柳津町,7
0,07444,三島町,7
0,07445,金山町,7
0,07446,昭和村,7
0,07447,会津美里町,7
0,07461,西郷村,7
0,07464,泉崎村,7
0,07465,中島村,7
0,07466,矢吹町,7
0,07481,棚倉町,7
0,07482,矢祭町,7
0,07483,塙町,7
0,07484,鮫川村,7
0,07501,石川町,7
0,07502,玉川村,7
0,07503,平田村,7
0,07504,浅川町,7
0,07505,古殿町,7
0,07521,三春町,7
0,07522,小野町,7
0,07541,広野町,7
0,07542,楢葉町,7
0,07543,富岡町,7
0,07544,川内村,7
0,07545,大熊町,7
0,07546,双葉町,7
0,07547,浪江町,7
0,07548,葛尾村,7
0,07561,新地町,7
0,07564,飯舘村,7
0,08201,水戸市,8
0,08202,日立市,8
0,08203,土浦市,8
0,08204,古河市,8
0,08205,石岡市,8
0,08207,結城市,8
0,08208,龍ケ崎市,8
0,08210,下妻市,8
0,08211,常総市,8
0,08212,常陸太田市,8
0,08214,高萩市,8
0,08215,北茨城市,8
